pert_id,pert_iname,pubchem_cid,SMILES
BRD-A02006392,NITRENDIPINE,4507,CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC
BRD-A02006716,BRD-A02006716,,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N1CCOC1CNC(=O)C(=O)NCc1ccccn1
BRD-A02033528,BRD-A02033528,,CC(C1C(C#N)=C(N)SC(N)=C1C#N)c1ccccc1
BRD-A02101999,BRD-A02101999,,CCc1ccc(cc1)N1C(=O)Nc2ccccc2C1(O)C(=O)N1CCN(CC1)c1ccccn1
BRD-A02126215,BRD-A02126215,,CCc1nc(N2CCCC(C)C2)c2oc3ccccc3c2n1
BRD-A02131228,BRD-A02131228,,O=C(Nc1ccccc1)C1C2CCCC\C=C/C12
BRD-A02176148,TUBAIC ACID,3919910,CC(=C)C1Cc2c(O1)ccc(C(O)=O)c2O
BRD-A02180903,BETAMETHASONE,6710614,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A02189320,MET-LEU-PHE,4105,CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(O)=O
BRD-A02198599,EMF-SUMO1-9,4898145,CC1CC(C)(C)N2C(=O)C3(Nc4ccccc4S3)c5cccc1c25
BRD-A02214146,BRD-A02214146,,O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12
BRD-A02241946,BRD-A02241946,25243794,CC(O)c1cc2n(C)c3c(=O)n(Cc4ccccc4F)ncc3c2s1
BRD-A02302336,BRD-A02302336,,CC(=N)C(C#N)C(=O)COC(=O)c1cccc(C)c1O
BRD-A02333338,CYCLOPAMINE,44118238,CC1C2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C
BRD-A02367930,ETHINYL-ESTRADIOL,24707,C[C@@]12CCC3C(CCc4cc(O)ccc34)C2CC[C@@]1(O)C#C
BRD-A02377332,BRD-A02377332,,CC1(CCc2ccccc2)NN(C(S)=N1)c1ccccc1
BRD-A02481876,IMPORTAZOLE,2949965,CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
BRD-A02501536,BRD-A02501536,,CCCC(O)C#Cc1cnc2O[C@@H](CN(C)C(=O)NC3CCCCC3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1
BRD-A02502222,BRD-A02502222,,CN(CC1COCCO1)Cc1nc(no1)C(c1ccccc1)c1ccccc1
BRD-A02503159,BRD-A02503159,,CC(=O)c1cccc(NC(=O)C(OC(=O)c2ccccc2NS(=O)(=O)c2cccs2)c2ccccc2)c1
BRD-A02534441,BRD-A02534441,,COCC(C)n1c(C)cc(C(=O)COC(=O)c2ccc3ncsc3c2)c1C
BRD-A02579693,ETOPOSIDE,73707602,COc1cc(cc(OC)c1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1
BRD-A02597951,BRD-A02597951,,COc1ccc(cc1)C(CC(=O)c1ccccc1)S(=O)(=O)c1ccc(C)cc1
BRD-A02612852,BRD-A02612852,,CCCNC(=O)NC1C(NC(=O)NCCC)N(C)C(=O)N1C
BRD-A02678271,BRD-A02678271,,CC1Cc2ccccc2N1C(=O)CN1CCC(CC1)n1nnc2cc(ccc12)C(F)(F)F
BRD-A02680048,BRD-A02680048,,COC(=O)C(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1CCC(C)C
BRD-A02710418,MEPTAZINOL,41049,CCC1(CCCCN(C)C1)c1cccc(O)c1
BRD-A02713983,DIHYDRODEOXYGEDUNIN,6708636,CC(=O)O[C@@H]1CC2[C@](C)(CCC(=O)C2(C)C)C2CC[C@@]3(C)[C@@H](OC(=O)C=C3[C@]12C)c1ccoc1
BRD-A02726762,BRD-A02726762,54664935,COc1ccc(cc1)C#Cc1ccc2N(C)[C@@H](CO)[C@@H]3CCN([C@@H]3c2c1)S(=O)(=O)C1=NC(C)C=N1
BRD-A02747686,BRD-A02747686,46948706,CNC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NNc1ccccc1
BRD-A02759312,BETAXOLOL,107952,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
BRD-A02760000,BRD-A02760000,,OC(=O)C1CC=CCC1C(=O)Nc1ccc(F)c(F)c1
BRD-A02763478,BRD-A02763478,,CCC1(C)Cc2ccccc2-c2c1c(=O)n(Cc1ccccc1)c1nnnn21
BRD-A02786371,BRD-A02786371,,OC(CN1c2ccccc2Sc2ccccc12)Cn1nnc2ccccc12
BRD-A02799884,DEOXYANDIROBIN,,COC(=O)C[C@H]1C(C)(C)C(=O)C=C[C@]1(C)C1CC[C@@]2(C)[C@@H](OC(=O)C=C2C1=C)c1ccoc1
BRD-A02809788,BRD-A02809788,44629410,COc1ccc(cc1OC)C(=O)C1CCCN(CCc2ccccc2)C1
BRD-A02836799,BRD-A02836799,6729757,OCCOc1ccccc1C1N2C(C(C(=O)N3CCCCCCC3)C11C(=O)Nc3ccccc13)C(=O)OC(C2c1ccccc1)c1ccccc1
