Standardized_SMILES,DICTrank
Cc1cccc(C)c1NC(=O)C[NH+]1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
C=CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)[NH+](C)CC(=O)[NH+](C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)[NH+](C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)[NH+](C)C(CC(C)C)C(=O)[NH+](C)C(CC(C)C)C(=O)[NH+](C)C(C(C)C)C(=O)[NH+]1C,1
CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,1
O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1
Cc1[nH]c2ccccc2c1CC[NH2+]Cc1ccc(C=CC(O)=NO)cc1,1
Cc1[n-]c(=O)c(C#N)cc1-c1ccncc1,1
O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1
CCNC(=O)C1CCC[NH+]1C(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(C)C)NC(=O)C(Cc1cn(Cc2ccccc2)cn1)NC(=O)C(Cc1ccc([O-])cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[n-]1)NC(=O)C1CCC(=O)N1,1
CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc([O-])cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[n-]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[NH+]1CCCC1C(=O)[N-][N-]C(N)=O,1
CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,1
CC([NH3+])Cc1ccccc1,1
NC(=O)OC(Cn1ncnn1)c1ccccc1Cl,1
CCC[NH+](CCC)CCc1cccc2[n-]c([O-])cc12,1
CC(C[NH+](C)C)C(C)(O)Cc1ccc(Cl)cc1,1
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc([O-])c(C(N)=O)c1,1
CC(Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1,1
CC(Cc1cccc(C(F)(F)F)c1)[NH2+]CCOC(=O)c1ccccc1,1
CC(CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C,1
Cc1cc(N=c2[n-]cc(Cl)c(=Nc3ccccc3S(=O)(=O)C(C)C)[n-]2)c(OC(C)C)cc1C1CC[NH2+]CC1,1
CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,1
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,1
CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,1
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1
COc1cc2c(cc1OC)C1CC(OC(=O)C([NH3+])C(C)C)C(CC(C)C)C[NH+]1CC2,1
Cc1c[n-]c(=Nc2ccc(OCC[NH+]3CCCC3)cc2)[n-]c1=Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,1
Cc1ccc(N(CC2=[NH+]CCN2)c2cccc([O-])c2)cc1,1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1
O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,1
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,1
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)[O-],1
COc1cc(N=c2c(C#N)c[n-]c3cc(OCCC[NH+]4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
CC(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,1
CC(C)[NH2+]CC(O)COc1cccc2ccccc12,1
CC1=C(CC(=O)[O-])c2cc(F)ccc2C1=Cc1ccc([S+](C)O)cc1,1
Cc1cccc(Nc2ccccc2C(=O)[O-])c1C,1
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,1
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,1
Cc1cccc(C)c1OCC(C)[NH3+],1
CC(Oc1c(Cl)cccc1Cl)C1=[NH+]CCN1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,1
CCC(OC(C)=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,1
Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,1
O=P1([NH2+]CCCl)OCCC[NH+]1CCCl,1
COC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,1
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCC[NH+](CCCC)CCCC)cc1,1
CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,1
CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1C[NH3+],1
FC(F)(F)C(F)(F)C(F)(F)F,1
N#Cc1ccnc([NH+]2C(=O)CCC2C(=O)[NH+](c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,1
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,1
CC(=O)[O-],1
C=CC(=O)Nc1cc(N=c2nc(-c3cn(C)c4ccccc34)cc[n-]2)c(OC)cc1N(C)CC[NH+](C)C,1
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],1
C[NH+]1CC[NH+]2c3ncccc3Cc3ccccc3C2C1,1
COc1ccc(CC[NH+]2CCC(N=c3[n-]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)C[NH+]1CC2,1
CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
O=C(CCC[NH+]1CC=C(n2c(=O)[n-]c3ccccc32)CC1)c1ccc(F)cc1,1
